,carat,depth,table,price,x,y,z,Cut_num,Clarity_num,Color_num
0,0.23,61.5,55.0,326,3.95,3.98,2.43,5,2,6
1,0.21,59.8,61.0,326,3.89,3.84,2.31,4,3,6
2,0.23,56.9,65.0,327,4.05,4.07,2.31,2,5,6
3,0.29,62.4,58.0,334,4.2,4.23,2.63,4,4,2
4,0.31,63.3,58.0,335,4.34,4.35,2.75,2,2,1
5,0.24,62.8,57.0,336,3.94,3.96,2.48,3,6,1
6,0.24,62.3,57.0,336,3.95,3.98,2.47,3,7,2
7,0.26,61.9,55.0,337,4.07,4.11,2.53,3,3,3
8,0.22,65.1,61.0,337,3.87,3.78,2.49,1,4,6
9,0.23,59.4,61.0,338,4.0,4.05,2.39,3,5,3
10,0.3,64.0,55.0,339,4.25,4.28,2.73,2,3,1
11,0.23,62.8,56.0,340,3.93,3.9,2.46,5,5,1
12,0.22,60.4,61.0,342,3.88,3.84,2.33,4,3,5
13,0.31,62.2,54.0,344,4.35,4.37,2.71,5,2,1
14,0.2,60.2,62.0,345,3.79,3.75,2.27,4,2,6
15,0.32,60.9,58.0,345,4.38,4.42,2.68,4,1,6
16,0.3,62.0,54.0,348,4.31,4.34,2.68,5,2,2
17,0.3,63.4,54.0,351,4.23,4.29,2.7,2,3,1
18,0.3,63.8,56.0,351,4.23,4.26,2.71,2,3,1
20,0.3,63.3,56.0,351,4.26,4.3,2.71,2,2,2
21,0.23,63.8,55.0,352,3.85,3.92,2.48,3,4,6
22,0.23,61.0,57.0,353,3.94,3.96,2.41,3,5,3
23,0.31,59.4,62.0,353,4.39,4.43,2.62,3,3,1
24,0.31,58.1,62.0,353,4.44,4.47,2.59,3,3,1
25,0.23,60.4,58.0,354,3.97,4.01,2.41,3,6,4
26,0.24,62.5,57.0,355,3.97,3.94,2.47,4,5,2
27,0.3,62.2,57.0,357,4.28,4.3,2.67,3,4,1
28,0.23,60.5,61.0,357,3.96,3.97,2.4,3,4,7
29,0.23,60.9,57.0,357,3.96,3.99,2.42,3,5,5
30,0.23,60.0,57.0,402,4.0,4.03,2.41,3,5,5
31,0.23,59.8,57.0,402,4.04,4.06,2.42,3,5,5
32,0.23,60.7,59.0,402,3.97,4.01,2.42,3,5,6
33,0.23,59.5,58.0,402,4.01,4.06,2.4,3,5,6
34,0.23,61.9,58.0,402,3.92,3.96,2.44,3,5,7
35,0.23,58.2,59.0,402,4.06,4.08,2.37,2,5,5
36,0.23,64.1,59.0,402,3.83,3.85,2.46,2,5,6
37,0.31,64.0,54.0,402,4.29,4.31,2.75,2,3,3
38,0.26,60.8,59.0,403,4.13,4.16,2.52,3,4,7
39,0.33,61.8,55.0,403,4.49,4.51,2.78,5,2,2
40,0.33,61.2,56.0,403,4.49,4.5,2.75,5,2,2
41,0.33,61.1,56.0,403,4.49,4.55,2.76,5,3,1
42,0.26,65.2,56.0,403,3.99,4.02,2.61,2,4,7
43,0.26,58.4,63.0,403,4.19,4.24,2.46,2,5,7
44,0.32,63.1,56.0,403,4.34,4.37,2.75,2,2,3
45,0.29,62.4,58.0,403,4.24,4.26,2.65,4,3,5
46,0.32,61.8,55.0,403,4.35,4.42,2.71,3,2,3
47,0.32,63.8,56.0,403,4.36,4.38,2.79,2,2,3
48,0.25,63.3,60.0,404,4.0,4.03,2.54,3,4,6
49,0.29,60.7,60.0,404,4.33,4.37,2.64,3,2,3
50,0.24,60.9,61.0,404,4.02,4.03,2.45,3,3,5
51,0.23,61.9,54.0,404,3.93,3.95,2.44,5,5,4
52,0.32,60.9,55.0,404,4.45,4.48,2.72,5,3,2
53,0.22,61.6,58.0,404,3.93,3.89,2.41,4,4,6
54,0.22,59.3,62.0,404,3.91,3.88,2.31,4,4,7
55,0.3,61.0,59.0,405,4.3,4.33,2.63,5,2,2
56,0.3,59.3,61.0,405,4.43,4.38,2.61,4,2,1
57,0.3,62.6,57.0,405,4.25,4.28,2.67,3,3,2
58,0.3,63.0,57.0,405,4.28,4.32,2.71,3,3,2
59,0.3,63.2,55.0,405,4.25,4.29,2.7,2,3,2
60,0.35,60.9,57.0,552,4.54,4.59,2.78,5,5,2
61,0.3,62.6,59.0,552,4.23,4.27,2.66,4,3,7
62,0.3,62.5,57.0,552,4.29,4.32,2.69,5,3,7
63,0.3,62.1,56.0,552,4.3,4.33,2.68,5,3,7
64,0.42,61.5,59.0,552,4.78,4.84,2.96,4,2,2
65,0.28,61.4,56.0,553,4.19,4.22,2.58,5,6,4
66,0.32,62.0,55.3,553,4.39,4.42,2.73,5,7,2
67,0.31,63.3,57.0,553,4.33,4.3,2.73,3,3,4
68,0.31,61.8,58.0,553,4.35,4.32,2.68,4,3,4
69,0.24,60.7,58.0,553,4.01,4.03,2.44,4,7,6
70,0.24,61.5,60.0,553,3.97,4.0,2.45,3,7,7
71,0.3,63.1,56.0,554,4.29,4.27,2.7,3,3,3
72,0.3,62.9,59.0,554,4.28,4.24,2.68,4,3,3
74,0.3,63.7,57.0,554,4.28,4.26,2.72,2,3,3
75,0.26,59.2,60.0,554,4.19,4.22,2.49,3,6,5
76,0.26,59.9,58.0,554,4.15,4.23,2.51,3,6,6
77,0.26,62.4,54.0,554,4.08,4.13,2.56,3,6,7
78,0.26,62.8,60.0,554,4.01,4.05,2.53,3,6,7
79,0.26,62.6,59.0,554,4.06,4.09,2.55,3,7,6
80,0.26,63.4,59.0,554,4.0,4.04,2.55,3,7,6
81,0.26,62.1,60.0,554,4.03,4.12,2.53,3,7,7
82,0.26,62.9,58.0,554,4.02,4.06,2.54,5,6,6
83,0.38,61.6,56.0,554,4.65,4.67,2.87,5,2,2
84,0.26,57.9,60.0,554,4.22,4.25,2.45,2,7,6
85,0.24,62.3,59.0,554,3.95,3.92,2.45,4,7,4
86,0.24,61.2,58.0,554,4.01,3.96,2.44,4,7,3
